ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Prior_purchases,Product_importance,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N
6293,C,Road,6,1,246.0,4,medium,M,4.0,1504.0,1
6294,F,Road,5,2,222.0,5,low,F,1.0,1672.0,0
6295,D,Road,7,5,250.0,4,low,F,2.0,1296.0,0
6296,F,Road,4,3,240.0,5,medium,F,5.0,1301.0,0
6297,A,Road,4,3,246.0,6,low,F,10.0,1176.0,0
6298,B,Flight,6,1,293.0,5,medium,F,7.0,1052.0,0
6299,C,Flight,6,5,253.0,4,medium,M,1.0,1977.0,0
6300,F,Flight,5,5,258.0,5,medium,M,7.0,1819.0,0
6301,D,Flight,6,4,258.0,4,low,F,2.0,1051.0,1
6302,F,Flight,5,3,245.0,5,medium,M,3.0,1851.0,0
6303,A,Flight,7,2,307.0,4,medium,M,2.0,1073.0,0
6304,B,Flight,6,5,301.0,4,low,F,3.0,1958.0,0
6305,C,Flight,6,5,252.0,4,low,F,2.0,1249.0,0
6306,F,Flight,5,1,272.0,6,medium,F,2.0,1681.0,1
6307,D,Flight,5,3,221.0,5,low,F,2.0,1630.0,1
6308,F,Flight,5,3,247.0,5,low,M,10.0,1699.0,1
6309,A,Flight,7,5,260.0,4,low,F,3.0,1930.0,1
6310,B,Flight,5,5,251.0,6,medium,M,4.0,1077.0,0
6311,C,Flight,5,2,227.0,5,medium,M,9.0,1917.0,0
6312,F,Flight,6,5,269.0,4,low,M,9.0,1826.0,0
6313,D,Flight,6,2,161.0,4,low,M,10.0,1683.0,0
6314,F,Flight,4,4,256.0,5,low,M,9.0,1622.0,1
6315,A,Flight,5,1,303.0,5,medium,F,9.0,1203.0,0
6316,B,Flight,5,3,257.0,5,medium,F,7.0,1565.0,1
6317,C,Flight,7,3,310.0,4,medium,F,8.0,1497.0,0
6318,F,Flight,5,3,238.0,5,medium,M,2.0,1150.0,1
6319,D,Flight,6,3,191.0,6,medium,F,2.0,4471.0,0
6320,F,Ship,4,3,252.0,3,medium,F,7.0,4852.0,0
6321,A,Ship,5,5,228.0,3,medium,F,8.0,4731.0,1
6322,B,Ship,4,3,208.0,2,medium,F,4.0,4767.0,1
6323,C,Ship,3,3,176.0,3,low,F,1.0,5168.0,0
6324,F,Ship,3,1,233.0,3,low,F,7.0,4874.0,0
6325,D,Ship,5,5,104.0,4,low,M,2.0,5235.0,0
6326,F,Ship,3,4,237.0,3,low,M,1.0,5980.0,0
6327,A,Ship,2,5,252.0,3,medium,M,7.0,5281.0,0
6328,B,Ship,5,2,135.0,3,medium,M,9.0,5173.0,0
6329,C,Ship,5,5,137.0,2,low,M,8.0,5111.0,1
6330,F,Ship,4,3,228.0,3,medium,F,1.0,5129.0,1
6331,D,Ship,4,3,236.0,4,medium,M,1.0,5783.0,1
6332,F,Ship,3,4,239.0,4,medium,F,8.0,4537.0,0
6333,A,Ship,2,2,199.0,3,low,M,1.0,4697.0,1
6334,B,Ship,3,4,269.0,2,medium,M,2.0,4177.0,0
6335,C,Ship,2,2,226.0,3,low,M,5.0,5875.0,0
6336,F,Ship,3,1,264.0,3,low,F,5.0,5043.0,0
6337,D,Ship,5,4,264.0,3,medium,M,10.0,4025.0,1
6338,F,Ship,4,3,186.0,3,low,M,2.0,4437.0,1
6339,A,Ship,3,5,154.0,3,high,F,2.0,4219.0,0
6340,B,Ship,3,1,239.0,2,medium,F,2.0,5757.0,1
6341,C,Ship,3,5,139.0,2,low,F,7.0,4449.0,1
6342,F,Ship,5,4,138.0,2,medium,F,8.0,5885.0,1
6343,D,Ship,3,1,286.0,4,medium,M,4.0,5106.0,0
6344,F,Ship,4,3,275.0,5,low,M,2.0,4622.0,1
6345,A,Ship,4,5,195.0,2,low,M,2.0,4008.0,1
6346,B,Ship,3,4,267.0,3,high,M,8.0,5337.0,1
6347,C,Ship,4,3,223.0,3,medium,F,7.0,5935.0,0
6348,F,Ship,4,4,198.0,2,low,M,6.0,5520.0,0
6349,D,Ship,6,5,250.0,2,low,F,7.0,4724.0,0
6350,F,Ship,3,3,237.0,4,low,F,8.0,5761.0,0
6351,A,Ship,5,4,193.0,3,medium,M,4.0,5873.0,0
6352,B,Ship,5,2,216.0,4,medium,F,9.0,5804.0,0
6353,C,Ship,3,2,253.0,2,medium,F,2.0,4567.0,0
6354,F,Ship,3,1,132.0,3,low,F,2.0,4785.0,0
6355,D,Ship,5,4,140.0,4,low,M,3.0,4018.0,0
6356,F,Ship,2,4,114.0,4,low,M,9.0,4452.0,1
6357,A,Ship,3,5,238.0,6,medium,M,8.0,5620.0,0
6358,B,Ship,3,1,210.0,2,low,M,9.0,5932.0,0
6359,C,Ship,4,4,272.0,4,medium,M,4.0,4363.0,1
6360,F,Ship,4,5,184.0,3,medium,F,9.0,5594.0,0
6361,D,Ship,4,1,168.0,2,low,M,3.0,4665.0,1
6362,F,Ship,4,2,231.0,5,low,M,7.0,4718.0,0
6363,A,Ship,4,1,143.0,2,medium,F,5.0,4057.0,0
6364,B,Ship,4,2,182.0,3,medium,M,9.0,5735.0,0
6365,C,Ship,2,4,221.0,3,low,F,3.0,4076.0,0
6366,F,Ship,6,1,225.0,6,low,M,8.0,5714.0,1
6367,D,Ship,3,5,227.0,3,high,M,9.0,4892.0,1
6368,F,Ship,3,1,266.0,3,low,M,5.0,5154.0,0
6369,A,Ship,4,2,247.0,4,high,F,9.0,4588.0,1
6370,B,Ship,3,2,154.0,3,medium,M,1.0,5322.0,1
6371,C,Ship,5,3,179.0,3,low,F,3.0,4131.0,0
6372,F,Ship,3,3,249.0,2,medium,M,9.0,4034.0,1
6373,D,Ship,3,5,156.0,4,low,M,5.0,4661.0,1
6374,F,Ship,3,5,206.0,3,low,F,6.0,4620.0,1
6375,A,Ship,4,1,245.0,3,medium,F,5.0,4173.0,0
6376,B,Ship,4,5,197.0,2,low,M,3.0,4379.0,1
6377,C,Ship,3,4,188.0,4,medium,M,5.0,5216.0,1
6378,F,Ship,3,3,237.0,2,low,F,2.0,4263.0,1
6379,D,Ship,4,4,174.0,2,medium,F,2.0,5892.0,0
6380,F,Ship,5,3,266.0,3,low,M,4.0,4969.0,1
6381,A,Ship,3,3,151.0,3,low,M,7.0,4611.0,0
6382,B,Ship,4,3,271.0,2,medium,M,9.0,4967.0,1
6383,C,Ship,4,1,214.0,2,low,F,10.0,4447.0,0
6384,F,Ship,6,5,261.0,5,low,M,1.0,5442.0,0
6385,D,Ship,3,1,166.0,2,high,F,6.0,5905.0,1
6386,F,Ship,3,4,269.0,2,low,F,8.0,5294.0,1
6387,A,Ship,3,2,167.0,3,medium,M,5.0,5995.0,1
6388,B,Ship,4,1,200.0,2,medium,F,5.0,5249.0,0
6389,C,Ship,4,4,159.0,3,low,F,1.0,4194.0,1
6390,F,Ship,4,2,197.0,2,low,F,1.0,4977.0,0
6391,D,Ship,4,5,219.0,2,high,M,4.0,4069.0,1
6392,F,Ship,3,2,239.0,3,low,F,10.0,4486.0,0
6393,A,Ship,3,1,146.0,2,medium,F,8.0,5375.0,0
6394,B,Ship,5,1,173.0,2,low,F,4.0,4242.0,1
6395,C,Ship,4,3,220.0,3,low,F,6.0,4894.0,1
6396,F,Ship,3,5,185.0,3,medium,M,5.0,4317.0,1
6397,D,Ship,4,2,170.0,2,medium,M,5.0,4996.0,1
6398,F,Ship,4,3,250.0,3,high,F,4.0,5272.0,1
6399,A,Ship,3,4,145.0,3,low,F,7.0,4079.0,1
6400,B,Ship,3,2,211.0,4,high,M,1.0,5831.0,1
6401,C,Ship,5,5,249.0,3,low,M,1.0,4274.0,0
6402,F,Ship,3,3,237.0,2,medium,M,8.0,5516.0,0
6403,D,Ship,4,5,144.0,2,medium,M,8.0,5478.0,0
6404,F,Ship,4,4,171.0,3,low,M,6.0,4343.0,1
6405,A,Ship,3,1,203.0,3,medium,F,4.0,4965.0,0
6406,B,Ship,5,1,137.0,4,high,F,1.0,4042.0,0
6407,C,Ship,4,2,212.0,3,medium,M,3.0,5427.0,1
6408,F,Ship,3,3,209.0,3,high,F,2.0,4036.0,1
6409,D,Ship,3,4,223.0,3,low,F,7.0,5336.0,1
6410,F,Ship,3,2,164.0,2,medium,F,7.0,4150.0,0
6411,A,Ship,3,3,220.0,3,high,F,6.0,5269.0,1
6412,B,Ship,3,4,216.0,3,medium,M,3.0,5651.0,0
6413,C,Road,3,2,215.0,2,medium,M,7.0,5988.0,1
6414,F,Road,4,2,146.0,3,low,F,4.0,5659.0,0
6415,D,Road,5,2,168.0,2,low,F,10.0,5225.0,1
6416,F,Road,4,4,218.0,6,medium,M,8.0,5101.0,1
6417,A,Road,4,3,143.0,4,medium,F,2.0,4919.0,0
6418,B,Road,3,1,233.0,3,medium,M,7.0,5331.0,0
6419,C,Road,4,1,195.0,3,low,M,2.0,4418.0,0
6420,F,Road,4,2,206.0,2,medium,M,5.0,4635.0,0
6421,D,Road,4,5,181.0,3,medium,M,1.0,5310.0,0
6422,F,Road,4,2,150.0,4,low,F,1.0,5922.0,1
6423,A,Road,3,5,258.0,4,low,F,3.0,4212.0,1
6424,B,Road,4,3,149.0,4,medium,M,1.0,4678.0,0
6425,C,Road,5,1,163.0,3,low,M,4.0,4200.0,0
6426,F,Road,3,3,259.0,2,high,M,8.0,4481.0,0
6427,D,Road,5,1,187.0,2,low,F,7.0,4792.0,0
6428,F,Road,3,5,172.0,3,medium,M,1.0,5024.0,1
6429,A,Road,3,5,139.0,2,low,M,2.0,5839.0,0
6430,B,Road,5,1,203.0,3,low,F,2.0,4162.0,1
6431,C,Road,3,3,150.0,4,medium,F,1.0,4662.0,0
6432,F,Road,3,1,201.0,6,medium,M,10.0,5077.0,1
6433,D,Road,3,4,194.0,2,medium,M,7.0,5553.0,0
6434,F,Road,3,4,159.0,3,high,M,4.0,4756.0,1
6435,A,Flight,4,2,238.0,2,medium,F,9.0,4937.0,0
6436,B,Flight,3,5,189.0,2,low,M,8.0,4567.0,0
6437,C,Flight,2,1,173.0,2,high,M,1.0,4135.0,1
6438,F,Flight,4,1,171.0,4,medium,M,2.0,5082.0,0
6439,D,Flight,5,3,154.0,2,low,M,3.0,5440.0,1
6440,F,Flight,4,1,173.0,3,low,F,4.0,4634.0,0
6441,A,Flight,3,4,186.0,6,low,F,8.0,4134.0,0
6442,B,Flight,4,1,224.0,3,low,M,9.0,5546.0,1
6443,C,Flight,4,3,186.0,3,medium,F,9.0,5131.0,1
6444,F,Flight,4,4,196.0,3,low,M,5.0,5514.0,0
6445,D,Flight,2,2,149.0,3,low,F,4.0,4819.0,1
6446,F,Flight,4,3,224.0,2,medium,M,8.0,5961.0,1
6447,A,Flight,3,1,154.0,2,low,F,10.0,5594.0,1
6448,B,Flight,3,3,170.0,4,low,M,3.0,4049.0,0
6449,C,Flight,3,4,150.0,2,low,F,6.0,5987.0,0
6450,F,Flight,5,2,240.0,3,low,M,7.0,4744.0,1
6451,D,Flight,3,3,139.0,2,medium,F,4.0,5958.0,1
6452,F,Flight,3,3,251.0,3,medium,M,2.0,5972.0,0
6453,A,Flight,4,4,237.0,3,medium,M,4.0,4747.0,1
6454,B,Flight,3,2,227.0,3,low,F,4.0,4450.0,0
6455,C,Flight,5,5,131.0,5,low,F,1.0,5299.0,1
6456,F,Flight,5,2,161.0,3,low,M,8.0,5804.0,1
6457,D,Ship,3,5,195.0,3,medium,F,9.0,4224.0,0
6458,F,Ship,2,3,266.0,2,low,M,1.0,5356.0,0
6459,A,Ship,3,2,198.0,2,low,M,9.0,4250.0,1
6460,B,Ship,4,3,200.0,4,low,F,10.0,4291.0,1
6461,C,Ship,6,1,196.0,4,medium,F,2.0,5844.0,0
6462,F,Ship,2,1,285.0,5,low,M,4.0,5759.0,0
6463,D,Ship,4,2,265.0,2,low,M,2.0,5649.0,0
6464,F,Ship,3,2,131.0,5,low,F,8.0,5084.0,0
6465,A,Ship,5,4,216.0,3,medium,F,2.0,5404.0,1
6466,B,Ship,4,1,253.0,4,low,F,1.0,5621.0,0
6467,C,Ship,5,3,230.0,4,medium,M,4.0,5278.0,1
6468,F,Ship,4,1,173.0,4,medium,F,1.0,4684.0,0
6469,D,Ship,3,5,206.0,2,low,F,4.0,4080.0,0
6470,F,Ship,5,3,189.0,5,low,M,7.0,4869.0,0
6471,A,Ship,3,5,270.0,3,high,M,1.0,4078.0,1
6472,B,Ship,4,4,266.0,3,low,M,3.0,5531.0,1
6473,C,Ship,3,5,270.0,3,medium,M,7.0,5477.0,1
6474,F,Ship,3,4,216.0,8,medium,F,8.0,4616.0,0
6475,D,Ship,3,1,147.0,8,medium,M,6.0,4575.0,0
6476,F,Ship,3,2,270.0,6,medium,F,10.0,4725.0,1
6477,A,Ship,3,2,261.0,8,low,F,3.0,5171.0,0
6478,B,Ship,3,3,261.0,8,medium,M,3.0,4007.0,1
6479,C,Ship,4,2,177.0,6,low,F,3.0,4392.0,1
6480,F,Ship,4,4,142.0,10,high,F,7.0,4624.0,0
6481,D,Ship,5,4,222.0,3,medium,F,10.0,4663.0,0
6482,F,Ship,4,4,186.0,7,medium,M,9.0,5418.0,0
6483,A,Ship,3,2,177.0,3,medium,M,8.0,5006.0,1
6484,B,Ship,4,1,251.0,4,low,M,3.0,4433.0,0
6485,C,Ship,3,5,240.0,7,medium,F,9.0,5525.0,1
6486,F,Ship,3,4,260.0,4,medium,M,10.0,5425.0,0
6487,D,Ship,4,2,206.0,7,high,M,3.0,4991.0,0
6488,F,Ship,4,3,242.0,2,low,M,3.0,4811.0,1
6489,A,Ship,3,1,194.0,3,low,F,1.0,5566.0,0
6490,B,Ship,5,1,232.0,3,low,F,10.0,1014.0,1
6491,C,Ship,6,2,279.0,4,low,F,10.0,1990.0,1
6492,F,Ship,6,4,251.0,4,low,F,10.0,1568.0,1
6493,D,Ship,6,1,300.0,5,low,F,10.0,1787.0,0
6494,F,Ship,7,3,133.0,5,low,F,4.0,1783.0,1
6495,A,Ship,6,1,283.0,4,low,M,8.0,1404.0,0
6496,B,Ship,7,4,296.0,4,low,F,8.0,1717.0,1
6497,C,Ship,6,2,261.0,4,medium,M,8.0,1891.0,0
6498,F,Ship,6,2,286.0,4,low,F,3.0,1959.0,0
6499,D,Ship,6,1,298.0,4,low,F,1.0,1735.0,1
6500,F,Ship,6,1,287.0,4,medium,F,1.0,1581.0,0
6501,A,Ship,6,5,251.0,4,medium,F,3.0,1660.0,0
6502,B,Ship,5,2,231.0,5,low,F,4.0,1913.0,1
6503,C,Ship,5,1,249.0,5,medium,M,10.0,1561.0,0
6504,F,Ship,5,2,244.0,5,low,M,10.0,1699.0,0
6505,D,Ship,7,1,264.0,4,medium,F,9.0,1829.0,1
6506,F,Ship,5,1,254.0,5,medium,M,10.0,1020.0,0
6507,A,Ship,4,4,264.0,6,low,F,6.0,1758.0,0
6508,B,Ship,6,4,309.0,4,low,M,9.0,1771.0,1
6509,C,Ship,5,1,298.0,4,low,F,4.0,1853.0,0
6510,F,Ship,5,5,265.0,5,medium,M,1.0,1568.0,0
6511,D,Ship,6,2,246.0,4,medium,M,7.0,1071.0,0
6512,F,Ship,5,2,222.0,5,low,F,5.0,1329.0,0
6513,A,Ship,7,5,250.0,4,low,M,1.0,1690.0,1
6514,B,Ship,4,2,240.0,5,medium,M,7.0,1711.0,1
6515,C,Ship,4,1,246.0,6,low,F,6.0,1335.0,1
6516,F,Ship,6,2,293.0,5,medium,F,4.0,1281.0,0
6517,D,Ship,5,5,189.0,5,low,M,3.0,5254.0,1
6518,F,Ship,3,5,270.0,3,high,F,7.0,4459.0,1
6519,A,Ship,4,4,266.0,3,low,M,10.0,5221.0,0
6520,B,Ship,3,2,270.0,3,medium,M,9.0,5873.0,1
6521,C,Ship,3,3,216.0,8,medium,M,4.0,5329.0,1
6522,F,Ship,3,3,147.0,8,medium,F,7.0,5822.0,0
6523,D,Ship,3,5,270.0,6,medium,F,9.0,4195.0,0
6524,F,Ship,3,3,261.0,8,low,M,10.0,4145.0,0
6525,A,Ship,3,1,261.0,8,medium,F,9.0,5248.0,1
6526,B,Ship,4,4,177.0,6,low,M,6.0,5451.0,1
6527,C,Ship,4,2,142.0,10,high,F,9.0,4280.0,1
6528,F,Ship,5,3,222.0,3,medium,F,10.0,4597.0,0
6529,D,Ship,4,5,186.0,7,medium,F,1.0,4357.0,0
6530,F,Ship,3,3,177.0,3,medium,M,10.0,5374.0,1
6531,A,Ship,4,4,251.0,4,low,F,1.0,4252.0,0
6532,B,Ship,3,3,240.0,7,medium,M,3.0,4385.0,0
6533,C,Ship,3,5,260.0,4,medium,F,8.0,4162.0,1
6534,F,Ship,4,2,206.0,7,high,M,7.0,5479.0,1
6535,D,Ship,4,5,242.0,2,low,M,4.0,5341.0,0
6536,F,Ship,3,2,194.0,3,low,F,3.0,5779.0,1
6537,A,Ship,5,2,232.0,3,low,F,1.0,1187.0,1
6538,B,Ship,6,4,279.0,4,low,F,1.0,1246.0,1
6539,C,Ship,6,3,251.0,4,low,M,1.0,1230.0,1
6540,F,Ship,6,2,300.0,5,low,M,3.0,1696.0,0
6541,D,Ship,7,5,133.0,5,low,F,7.0,1239.0,1
6542,F,Ship,6,4,283.0,4,low,F,10.0,1512.0,0
6543,A,Ship,7,5,296.0,4,low,F,2.0,1823.0,1
6544,B,Ship,6,1,261.0,4,medium,F,8.0,1524.0,0
6545,C,Ship,6,3,286.0,4,low,M,5.0,1750.0,1
6546,F,Ship,6,5,298.0,4,low,M,3.0,1520.0,0
6547,D,Ship,6,3,287.0,4,medium,F,8.0,1850.0,1
6548,F,Ship,6,2,251.0,4,medium,F,6.0,1864.0,0
6549,A,Ship,5,4,231.0,5,low,M,10.0,1247.0,0
6550,B,Road,5,1,249.0,5,medium,F,1.0,1654.0,1
6551,C,Road,5,5,244.0,5,low,M,5.0,1787.0,0
6552,F,Road,7,3,264.0,4,medium,M,3.0,1296.0,0
6553,D,Road,5,4,254.0,5,medium,M,7.0,1545.0,0
6554,F,Road,4,1,264.0,6,low,M,7.0,1007.0,0
6555,A,Road,6,2,309.0,4,low,F,6.0,1335.0,0
6556,B,Road,5,1,298.0,4,low,M,4.0,1551.0,0
6557,C,Road,5,3,265.0,5,medium,F,6.0,1929.0,0
6558,F,Road,6,2,246.0,4,medium,F,7.0,1297.0,1
6559,D,Road,5,5,222.0,5,low,F,4.0,1311.0,0
6560,F,Road,7,1,250.0,4,low,M,9.0,1890.0,1
6561,A,Road,6,5,269.0,4,low,F,2.0,1243.0,0
6562,B,Road,6,2,161.0,4,low,F,9.0,1377.0,0
6563,C,Road,4,3,256.0,5,low,F,5.0,1533.0,1
6564,F,Road,5,1,303.0,5,medium,F,4.0,1009.0,0
6565,D,Road,5,3,257.0,5,medium,F,3.0,1953.0,0
6566,F,Road,5,2,259.0,5,low,F,3.0,1724.0,1
6567,A,Road,4,4,249.0,6,low,F,1.0,1398.0,1
6568,B,Road,6,2,289.0,4,high,F,3.0,1116.0,0
6569,C,Road,6,2,308.0,5,medium,F,6.0,1118.0,0
6570,F,Road,6,3,297.0,4,medium,F,2.0,1520.0,1
6571,D,Road,4,2,255.0,5,low,M,1.0,1353.0,1
6572,F,Flight,6,4,266.0,4,low,M,9.0,1253.0,1
6573,A,Flight,7,5,302.0,4,low,M,3.0,1597.0,1
6574,B,Flight,4,4,223.0,5,medium,M,4.0,1344.0,0
6575,C,Flight,6,1,261.0,4,low,F,6.0,1703.0,1
6576,F,Flight,4,1,273.0,5,low,F,7.0,1922.0,0
6577,D,Flight,6,5,260.0,4,low,F,2.0,1221.0,0
6578,F,Flight,5,1,266.0,5,low,F,9.0,1852.0,0
6579,A,Flight,2,1,164.0,5,low,F,8.0,1886.0,0
6580,B,Flight,5,5,240.0,6,medium,F,9.0,1117.0,0
6581,C,Flight,6,5,305.0,4,medium,M,10.0,1418.0,1
6582,F,Flight,5,3,248.0,5,low,F,7.0,1475.0,1
6583,D,Flight,7,2,279.0,4,medium,F,1.0,1480.0,0
6584,F,Flight,5,2,244.0,6,low,F,7.0,1315.0,0
6585,A,Flight,5,1,267.0,5,low,F,4.0,1097.0,0
6586,B,Flight,7,2,275.0,4,medium,F,6.0,1513.0,0
6587,C,Flight,6,4,299.0,4,medium,M,9.0,1036.0,1
6588,F,Flight,6,1,254.0,4,medium,F,3.0,1488.0,1
6589,D,Flight,6,1,273.0,4,medium,F,6.0,1524.0,0
6590,F,Flight,5,3,218.0,5,low,F,6.0,1278.0,1
6591,A,Flight,5,4,267.0,5,medium,F,10.0,1837.0,1
6592,B,Flight,6,2,259.0,4,medium,M,6.0,1066.0,1
6593,C,Flight,7,4,272.0,4,low,M,3.0,1805.0,0
6594,F,Ship,5,4,281.0,4,medium,M,8.0,1220.0,0
6595,D,Ship,6,2,267.0,4,medium,F,1.0,1935.0,0
6596,F,Ship,6,4,260.0,4,medium,F,10.0,1927.0,0
6597,A,Ship,7,2,261.0,4,medium,M,9.0,1918.0,1
6598,B,Ship,4,1,219.0,2,medium,F,2.0,1752.0,0
6599,C,Ship,4,3,264.0,5,medium,M,3.0,1639.0,0
6600,F,Ship,7,3,310.0,5,low,F,5.0,1563.0,0
6601,D,Ship,6,4,297.0,5,high,M,6.0,1631.0,0
6602,F,Ship,4,3,274.0,5,low,M,5.0,1512.0,0
6603,A,Ship,5,5,246.0,5,medium,M,6.0,1053.0,0
6604,B,Ship,5,3,221.0,6,medium,F,3.0,1960.0,1
6605,C,Ship,6,3,295.0,4,low,F,10.0,1495.0,0
6606,F,Ship,7,4,259.0,4,low,M,6.0,1697.0,0
6607,D,Ship,4,4,138.0,3,medium,F,7.0,1597.0,1
6608,F,Ship,3,5,250.0,2,low,F,9.0,1205.0,0
6609,A,Ship,5,1,236.0,6,medium,F,4.0,1705.0,0
6610,B,Ship,5,1,267.0,5,medium,M,10.0,1505.0,0
6611,C,Ship,6,4,283.0,4,medium,M,1.0,1384.0,1
6612,F,Ship,7,1,244.0,4,low,M,8.0,1817.0,1
6613,D,Ship,5,2,260.0,5,low,M,9.0,1809.0,1
6614,F,Ship,5,1,276.0,5,medium,M,5.0,1358.0,1
6615,A,Ship,7,3,307.0,4,low,M,4.0,1653.0,0
6616,B,Ship,6,5,266.0,4,low,M,8.0,1709.0,0
6617,C,Ship,5,2,237.0,5,medium,M,6.0,1084.0,0
6618,F,Ship,4,4,251.0,6,medium,M,4.0,1869.0,0
6619,D,Ship,4,1,247.0,6,low,M,4.0,1349.0,1
6620,F,Ship,3,3,279.0,4,low,M,3.0,4620.0,0
6621,A,Ship,5,5,230.0,3,low,F,10.0,5163.0,0
6622,B,Ship,4,5,234.0,3,low,F,4.0,5100.0,1
6623,C,Ship,6,5,152.0,4,medium,F,8.0,5351.0,0
6624,F,Ship,3,4,160.0,4,medium,M,9.0,4733.0,1
6625,D,Ship,3,2,263.0,3,low,F,3.0,5303.0,0
6626,F,Ship,4,1,164.0,3,low,M,4.0,5910.0,0
6627,A,Ship,3,3,209.0,2,medium,M,1.0,5098.0,1
6628,B,Ship,5,1,245.0,3,low,F,9.0,4694.0,0
6629,C,Ship,3,4,172.0,2,low,M,5.0,5919.0,0
6630,F,Ship,2,5,180.0,6,medium,F,7.0,4907.0,1
6631,D,Ship,3,3,145.0,3,medium,F,8.0,4522.0,0
6632,F,Ship,3,4,248.0,3,medium,F,6.0,4932.0,0
6633,A,Ship,5,4,242.0,3,high,F,4.0,4805.0,0
6634,B,Ship,4,3,237.0,3,medium,F,8.0,5045.0,1
6635,C,Ship,4,4,203.0,2,low,F,4.0,4793.0,0
6636,F,Ship,3,4,186.0,4,low,M,6.0,4403.0,0
6637,D,Ship,4,1,155.0,5,low,F,1.0,5986.0,0
6638,F,Ship,3,4,153.0,4,low,M,5.0,5604.0,1
6639,A,Ship,3,2,199.0,2,medium,M,10.0,4659.0,0
6640,B,Ship,4,5,219.0,3,medium,M,8.0,4605.0,0
6641,C,Ship,4,1,156.0,2,low,M,8.0,5488.0,0
6642,F,Ship,5,5,135.0,2,low,F,1.0,4324.0,1
6643,D,Ship,3,4,244.0,3,medium,M,2.0,5389.0,0
6644,F,Ship,5,1,183.0,3,low,F,10.0,5023.0,0
6645,A,Ship,4,3,258.0,2,low,F,3.0,4555.0,0
6646,B,Ship,6,2,168.0,2,low,M,3.0,5853.0,0
6647,C,Ship,5,1,161.0,2,medium,F,10.0,4108.0,1
6648,F,Ship,4,2,246.0,2,low,M,2.0,4497.0,1
6649,D,Ship,3,3,232.0,4,medium,M,3.0,5828.0,0
6650,F,Ship,3,3,155.0,2,medium,F,5.0,5577.0,0
6651,A,Ship,5,5,162.0,2,medium,M,6.0,5868.0,0
6652,B,Ship,4,3,123.0,4,medium,M,6.0,4166.0,0
6653,C,Ship,3,4,235.0,2,low,F,10.0,4575.0,0
6654,F,Ship,5,1,179.0,2,low,F,3.0,5417.0,0
6655,D,Ship,3,5,202.0,2,medium,M,3.0,5746.0,1
6656,F,Ship,4,5,272.0,2,medium,F,1.0,5378.0,0
6657,A,Ship,4,2,185.0,3,medium,M,1.0,5338.0,0
6658,B,Ship,3,3,188.0,2,medium,F,2.0,4336.0,0
6659,C,Ship,3,2,250.0,4,low,F,3.0,5449.0,1
6660,F,Ship,5,3,224.0,4,low,M,7.0,4553.0,0
6661,D,Ship,4,1,261.0,3,low,F,10.0,5943.0,0
6662,F,Ship,3,1,200.0,2,medium,M,8.0,4337.0,0
6663,A,Ship,4,1,200.0,4,medium,M,3.0,5837.0,0
6664,B,Ship,2,1,143.0,3,low,M,4.0,4512.0,0
6665,C,Ship,3,4,199.0,3,low,M,7.0,5089.0,0
6666,F,Ship,4,5,157.0,3,medium,M,2.0,5791.0,1
6667,D,Ship,3,2,225.0,3,high,M,5.0,4304.0,1
6668,F,Ship,3,3,152.0,2,medium,M,3.0,4193.0,1
6669,A,Ship,4,4,236.0,2,medium,F,6.0,5101.0,1
6670,B,Ship,3,1,266.0,5,low,M,1.0,5459.0,0
6671,C,Ship,3,2,243.0,4,medium,M,4.0,4410.0,1
6672,F,Ship,4,5,224.0,6,high,F,5.0,5659.0,1
6673,D,Ship,3,5,153.0,4,low,F,10.0,5897.0,0
6674,F,Ship,4,2,232.0,3,medium,F,7.0,5737.0,1
6675,A,Ship,3,3,253.0,3,medium,M,5.0,4754.0,1
6676,B,Ship,3,3,150.0,3,low,M,5.0,5328.0,0
6677,C,Ship,4,3,198.0,2,low,M,5.0,5724.0,1
6678,F,Ship,4,4,231.0,3,low,M,9.0,4305.0,1
6679,D,Ship,3,5,135.0,2,medium,F,9.0,5614.0,1
6680,F,Ship,5,4,153.0,3,low,M,5.0,4711.0,1
6681,A,Ship,4,2,201.0,2,low,M,3.0,4869.0,1
6682,B,Ship,4,4,273.0,2,medium,M,6.0,5676.0,1
6683,C,Ship,5,4,245.0,3,high,M,4.0,4298.0,0
6684,F,Ship,4,4,157.0,2,low,M,9.0,4491.0,1
6685,D,Ship,4,3,150.0,2,high,F,8.0,4965.0,1
6686,F,Ship,3,3,243.0,2,low,M,3.0,4675.0,1
6687,A,Road,4,5,105.0,5,high,M,4.0,5824.0,1
6688,B,Road,5,4,221.0,5,low,M,6.0,5059.0,0
6689,C,Road,3,1,236.0,6,medium,F,10.0,4858.0,0
6690,F,Road,4,4,263.0,3,medium,M,5.0,4193.0,0
6691,D,Road,3,3,213.0,2,low,M,10.0,5495.0,0
6692,F,Road,6,1,259.0,3,low,F,3.0,5683.0,0
6693,A,Road,4,2,190.0,3,medium,M,7.0,4766.0,0
6694,B,Road,3,5,213.0,4,medium,M,9.0,5550.0,1
6695,C,Road,5,3,261.0,4,medium,F,5.0,4623.0,1
6696,F,Road,3,5,254.0,3,medium,M,5.0,4946.0,0
6697,D,Road,3,4,151.0,4,medium,F,1.0,4587.0,1
